NOMBRE,LOCALIZACION,ESTADO,LATITUD,LONGITUD,AREA,ZONA,ANO DE DESCUBRIMIENTO,TIRANTE AGUA,ESTATUS,ASIGNACION,OPERADOR,VIGENCIA,NUM BLOQUES,CAA ORIGINAL,CAA ACTUAL,CGA ORIGINAL,CGA ACTUAL,NP (MMB),GP (MMMPC),MECANISMO DE PRODUCCION,PRODUCCION RECORD (MBPD),PRODUCCION RECORD (MMPCD),PRODUCCION ACEITE (MBPD),PRODUCCION GAS (MMPCD),PRODUCCION AGUA (MBPD),COLUMNA OP ACEITE,PROYECTO IOR/EOR PROPUESTO,PROYECTO IOR/EOR SUGERIDO,VOUMEN DE INYECCION DE GAS (MMPCD),VOUMEN DE INYECCION DE AGUA (MBPD),TIPO TERMINACION,POZOS PERFORADOS,POZOS PRODUCTORES,POZOS INYECTORES,POZOS MONITORES PRODUCTORES,POZOS MONITORES,POZOS CERRADOS CON POSIBILIDADES,POZOS CERRADOS SIN POSIBILIDADES,POZOS TAPONADOS,REPARACIONES MENORES,REPARACIONES MAYORES,SISTEMA ARTIFICIAL,DESCUBRIMIENTO
BOLONTIKU,"Se ubica en la plataforma continental del Golfo de Mexico frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 80 km de Ciudad del Carmen, entre las isobatas de 20 y 100 m",Aguas Territoriales del G. de M.,18.89541233,-92.57442922,9.19,Aguas Someras,1992,,Productor,A-0049-M - Campo Bolontiku,PEMEX,,12,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",40,,20,,1.7413,,,,,,,,,,,,,,,,,BEC,
CAAN,"Se ubica en la plataforma continental del Golfo de Mexico frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 135 km de la Terminal Maritima Dos Bocas, en el municipio de Paraiso Tabasco, a 80 km de Ciudad del Carmen, Campeche y a 20 km al sur del campo Akal",Aguas Territoriales del G. de M.,19.23917197,-92.0602703,52.8,Aguas Someras,1985,,Productor,A-0053-M - Campo Caan,PEMEX,2034,5,3850,3633,,,,,"Expansion de gas en solucion, empuje hidraulico y casquete de gas",201.9767333,366.5296774,7.38,26.349,3.582,126.36,,,,,"Agujero descubierto, agujero entubado",43,8,0,0,0,1,22,12,,,,
CARPA,"Se ubica en aguas territoriales del Golfo de Mexico, aproximadamente a 35 km de las costas de Tuxpan en el estado de Veracruz",Aguas Territoriales del G. de M.,21.23992016,-97.11545687,5,Aguas Someras,1971,49,Productor,A-0065-M - Campo Carpa,PEMEX,2034,1,2475,,,,,,Acuifero activo,6.07,1.13,0.72,0.08,1.04,,,,,,Agujero descubierto,18,8,0,,,8,0,2,,,,
CHAC,"Se ubica aproximadamente 85 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.37240279,-91.96239942,16,Aguas Someras,1976,30,Productor,A-0078-M - Campo Chac,PEMEX,2034,1,3657,3450,,,,,"Expansion roca-fluido, Empuje hidraulico",66.8,29,6.35,2.66,13.86,,,,,,"Agujero descubierto, agujero entubado",13,7,1,1,0,4,4,4,121,,BN,
CHAPABIL,"Se ubica a 130 km de la costa de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,,,43.8,Aguas Someras,2009,,Cerrado,AE-0010-2M-Pilar de Akal-Kayab-01,,,,,,,,,,,,,,,,,,,,,Agujero entubado,1,,,,,1,,,,,BEC,
CHE,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 119.07 km al noreste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 51.8 km al noroeste de Ciudad del Carmen, Campeche.",Aguas Territoriales del Golfo de Mexico,,,6.5,AGUAS SOMERAS,1997,19,Productor,A-0082-M,PEMEX,2034,,4582,4582,,,,,Expansion roca-fluido,1.944640738,20.07262345,0.32449,4.14519,0.297973073,43.48,,,,,Agujero entubado,1,1,0,0,0,0,0,0,,,,
CHUC,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 116 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 61 km a 46 al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.16493004,-92.29030215,40.6,Aguas Someras,1982,,Productor,A-0089-M - Campo Chuc,PEMEX,2034,5,4144,3666,,,,," Expansion de gas en solucion, empuje hidraulico",157.49,200.24,16.26520367,16.54236827,7.890403252,264.07,,,,,"Agujero descubierto, agujero entubado",33,11,0,0,0,0,18,4,,,BN,
CHUHUK,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 112 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 62 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,18.9566507,-92.26369773,8.9,Aguas Someras,2003,21,Productor,A-0090-M - Campo Chuhuk,PEMEX,2034,5,4858,4738.28,,,,," Expansion de gas en solucion, empuje hidraulico",43.124,55.968,4.215,5.829,1.822,48,,,,,"Agujero descubierto, agujero entubado",6,4,0,0,0,0,2,0,,,,
CHUKUA,Se ubica a 108.3 km de la Terminal Maritima de Dos Bocas Paraiso,Aguas Territoriales del G. de M.,18.92177178,-92.17210524,45.26,Aguas Someras,2002,,Cerrado,AE-0025-2M-Okom-08,PEMEX,,1,,,,,,,"Acuifero activo, Expansion roca-fluido",,,,,,,,,,,Agujero entubado,1,,,,,,,1,,,,
CITAM,"Se ubica en la plataforma continental del Golfo de Mexico aproximadamente a 30 km frente a las costas de los estados de Tabasco y Campeche, entre las isobatas de 20 y 100 m",Aguas Territoriales del G. de M.,18.87565077,-92.75385497,7544.88,Aguas Someras,1992,,Desarrollo,AE-0018-2M - Okom - 01,PEMEX,,12,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",,,,,1.7413,,,,,,,,,,,,,,,,,BEC,
CRATER,"Se localiza a 12 km al suroeste de la ciudad de Frontera, Tabasco",Aguas Territoriales del G. de M.,18.52328771,-92.76428555,6.56,Aguas Someras,2007,,Productor,A-0108-M - Campo Crater,PEMEX,2034,2,,,6075,5875,,,"Acuifero activo, Expansion roca-fluido",7.996,42.94,0.277,2.45,1,,,,,,"Agujero descubierto, agujero entubado",6,1,0,0,0,0,5,0,1,,,
EK,"Se encuentra ubicado dentro de las aguas territoriales del Golfo de Mexico, frente a las costas del estado de Campeche, aproximadamente a 95 km al noroeste de Ciudad del Carmen",Aguas Territoriales del G. de M.,19.50631792,-91.99763548,9.97,Aguas Someras,1980,55,Productor,CNH-MI-EK-BALAM/2017,PEMEX,2039,30,3260,3093,,,,,Expansion roca-fluido,55818,3.71,15191,0.951,24161,,Inyeccion de agua,,,,"Agujero descubierto, agujero entubado",16,11,0,0,0,2,2,2,,,BEC,
ESCUALO,"Se ubica a 24 km al noreste del municipio de Tecolutla, Veracruz",Aguas Territoriales del G. de M.,,,,Aguas Someras,1969,43,Cerrado,-,PEMEX,,,,,,,,,,,,,,,,,,,,Agujero entubado,7,,,,,,,7,,,,
ETKAL,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 127 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 56 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.05644994,-92.14665458,8.3,Aguas Someras,2003,,Productor,A-0130-M - Campo Etkal,PEMEX,2034,5,,,4435,4364,,,Expansion roca-fluido,1.644,28.84,1.472581,17.21623,0.027890769,,,,,,Agujero entubado,2,1,0,0,0,0,0,1,,,,
HAP,"Se localiza a 64 km al norte de la ciudad frontera, Tabasco",Aguas Territoriales del G. de M.,,,,Aguas Someras,,,Cerrado,-,PEMEX,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
HOKCHI,"Se localiza frente a las costas del estado de Tabasco, a 27 km al noreste de la Terminal Maritima de Dos Bocas.",Aguas Territoriales del G. de M.,18.62976901,-93.34577726,40,Aguas Someras,2009,28,Desarrollo,CNH-R01-L02-A2-2015,"Hokchi Energy, S.A. de C.V., E&P Hidrocarburos y Servicios, S.A. de C.V.",2040,2,,,,,,,,,,0.6,0.1,,,,,,,Agujero entubado,2,,,,,1,1,,,,BEC,
HOMOL,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 116 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 61 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.03948552,-92.26304759,15.6,Aguas Someras,2003,,Productor,A-0151-M - Campo Homol,PEMEX,2034,5,4675,4628,,,,,Empuje hidraulico,60.32857409,72.99538108,42.07021599,47.76389944,1.739320945,58.32,,,,,"Agujero descubierto, agujero entubado",13,11,0,0,0,1,0,2,,,,
ICHALKIL,"Se ubica frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 95 km de Paraiso, Tabasco",Aguas Territoriales del G. de M.,19.03930331,-92.47853833,38.6,Aguas Someras,2005,32.5,Desarrollo,AE-0021-3M-Okom-04,PEMEX,,12,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",,,,,1.7413,,,,,,Agujero entubado,2,,,,,2,,,,,BEC,
ITLA,"Se localiza frente al litoral de Tabasco y sur de Veracruz, aproximadamente a 54 km de Coatzacoalcos, Veracruz",Aguas Territoriales del G. de M.,18.42476132,-94.01284702,974,Aguas Someras,,500,Desarrollo,"AE-0009-2M - Tucoo-Xaxamani - 01, AE-0004-4M - Amoca-Yaxche - 02",PEMEX,2019,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
IXTAL,"Se ubica en aguas territoriales del Golfo de Mexico, aproximadamente a 142 km al noreste de la Terminal Maritima de Dos Bocas en Paraiso, Tabasco y 95 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.37837036,-92.33801381,10.9,Aguas Someras,1993,73,Productor,A-0160-M - Campo Ixtal,PEMEX,2034,70,4520,4044,3579,3579,,,"Expansion roca-fluido, Empuje hidraulico",126.7080672,263.3791997,14.31407041,28.28783556,2.805400269,144,,,,,Agujero entubado,18,8,0,4,1,7,0,3,,,BN,
IXTOC,"Se ubica aproximadamente a 85 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.44405123,-92.21656855,22.38,Aguas Someras,1979,70,Productor,A-0161-M - Campo Ixtoc,PEMEX,2034,1,3650,3600,3555,3555,,," Expansion Roca-Fluido, Empuje hidraulico, casquete de gas ",38.02,37.1,12.617,13.208,17.459,45,,Inyeccion de Agua inteligente ,,,"Agujero descubierto, agujero entubado",18,9,0,1,0,2,0,4,121,,BN,
KAB,"Se ubica en la plataforma continental del Golfo de Mexico frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 30 km de frontera, Tabasco",Aguas Territoriales del G. de M.,18.79107949,-92.73342184,7544.88,Aguas Someras,1994,,Productor,A-0170-M - Campo Kab,PEMEX,,1,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",35.181,,11.2,15.8,1.7413,,,,,,,17,4,,,,1,3,8,,,BEC,
KACH,"Se ubica aproximadamente a 130 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.49612352,-92.76904474,16.72,Aguas Someras,2003,,Cerrado,AE-0026-2M-Xulum-Ayan-01,PEMEX,,,,,,,,,,,,,,,,,,,,Agujero descubierto,1,0,0,0,0,0,0,1,,,,
KAMBESAH,"Se ubica aproximadamente a 85 km al noroeste de la Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.403154,-92.15620778,13.29,Aguas Someras,2008,50,Productor,A-0172-M - Campo Kambesah,PEMEX,2034,1,3760,3725,,,,,"Expansion roca-fluido, Empuje hidraulico",37.79,17.45,16.433,7.589,6.233,,,,,,Agujero descubierto,7,3,0,2,0,2,0,1,17,,BN,
KANAAB,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 150 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 80 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.35299582,-92.23286559,11,Aguas Someras,1996,44,Productor,A-0174-M - Campo Kanaab,PEMEX,2034,5,4250,4159,,,,,Expansion roca-fluido,9.77,6.49,2.6,2.5,1.03,93,,,,,Agujero entubado,5,3,0,0,0,0,0,2,,,BN,
KASTELAN,Se localiza a 138 km al noroeste de Ciudad del Carmen,Aguas Territoriales del G. de M.,19.46490119,-92.83906376,8.78,Aguas Someras,2005,421.3,Cerrado,AE-0026-2M-Xulum-Ayan-01,PEMEX,,,,,,,,,,,,,,,,,,,,Agujero entubado,1,,,,,,,1,,,,
KAX,"Se ubica en la plataforma continental del Golfo de Mexico frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 88 km al noroeste de Ciudad del Carmen",Aguas Territoriales del G. de M.,19.13024693,-92.48052531,7544.88,Aguas Someras,1992,,Desarrollo,A-0176-M - Campo Kax,PEMEX,,12,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",,,,,1.7413,,,,,,,,,,,,,,,,,BEC,
KAY,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 79 km al NW de Ciudad del Carmen, Campeche y a 140 m del campo Pol",Aguas Territoriales del Golfo de Mexico,,,6.1,AGUAS SOMERAS,1984,21.3,Cerrado,,PEMEX,,,,,,,,,,,,,,,,,,,,Agujero entubado,1,0,0,0,0,0,0,1,,,,
KAYAB,Se localiza a 135 km al noroeste de Ciudad del Carmen,Aguas Territoriales del G. de M.,19.73423612,-92.43319134,53.6,Aguas Someras,2004,150,Desarrollo,"AE-0010-2M-Pilar de Akal-Kayab-01, AE-0098-2M-Nox-Hux-02",,,,,,,,,,,,,,,,,,,,,Agujero entubado,2,,,,,,,2,,,BEC,
KIX,Se ubica en la plataforma continental del Golfo de Mexico frente a las costas de los estados de Tabasco y Campeche,Aguas Territoriales del G. de M.,18.83476123,-92.41056138,7544.88,Aguas Someras,1992,21,Cerrado,AE-0022-3M-Okom-05,PEMEX,2041,1,,,,,,,"Acuifero activo, Expansion roca-fluido, Segregacion Gravitacional",,,,,,,,,,,,,,,,,2,,1,,,BEC,
KOPO,"Se ubica en el Golfo de Mexico a 37 km al noreste de la ciudad de frontera, Tabasco",Aguas Territoriales del G. de M.,,,,Aguas Someras,,,Cerrado,-,PEMEX,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
KOSNI,Se encuentra aproximadamente a 28 km al noreste de la ciudad de Veracruz,Aguas Territoriales del G. de M.,,,,Aguas Someras,2004,,Desarrollo,-,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
KU,"Se localiza a 105 km de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.5078002,-92.19671584,95.96,Aguas Someras,1980,60,Productor,A-0183-M - Campo Ku,PEMEX,2034,127,3244,3022,,2947,,,"Expansion roca-fluido, Gas disuelto liberado, Casquete de gas, Empuje hidraulico, Segregacion gravitacional",384.445,326.993,79.858,263.428,14.446,75,Inyeccion de N2,,94.84,,"Cola extendida,Convencional",86,39,4,2,6,4,9,8,,,BN,
KUIL,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 132 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 79 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.04820241,-92.19785738,20,Aguas Someras,2007,29,Productor,A-0184-M - Campo Kuil,PEMEX,2034,5,,,,,,,Inyeccion de gas natural,663,494,0.01952,0.0053,0.03146,,,,,,Agujero entubado,,6,,,,,,,,,BN,
